,id,size,brand,size_standard,gender,material,color,category,subcategory,name,description,picture_1,picture_2,picture_3,country,net_price,currency_code
255,62bdf9de48024c0012f8be8c,M,Tommy Hilfiger,UK,Female,Cotton,Red,Sweatshirts,Sweatshirts,Tommy jeans jumper ,Tommy jeans jumper with chest logo ,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/9d643500-b74e-4830-8474-8ba770268c22.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/13c3bca3-8daa-41f7-97cf-63e49566d65e.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/6a079c25-d4c6-4ba5-b88b-6d4dcef1a545.jpg,UK,12.5,GBP
267,62bec1b241a5030012f3b90e,S,Comme des Garçons Play,UK,Male,Cotton,Black,Hoodies,Hoodies,mens mens comme des garcons hoody,"bought last month, only worn once so like new! ",https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/afe4809c-7fe2-4322-946d-a851d73d66b5.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/014bc769-90a1-42a5-b7c1-6eb2c88246de.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/d89e712c-f911-4e4e-ace1-3793a67897bf.jpg,UK,106.14,GBP
272,62bf02a441a5030012f3c8c9,S,Vivienne Westwood Red Label,UK,Female,Viscose,Pink,Dresses,Dresses,Vivienne Westwood Red Label Dusky Pink Dress,A-Symmetric neckline mid length dress,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/599c24ed-ac7f-4345-abbb-19fec0b765e2.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/6695693b-8d10-4869-a896-520a99519f12.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/acf75dac-a3ee-4871-8d21-05730fbdbca8.jpg,UK,71.65,GBP
273,62bf0fbe41a5030012f3cbc1,L,Burberry Brit,UK,Male,Cotton,Black,Hoodies,Hoodies,Billionaire boys club horsepower arch logo sweatshirt in black,"Fits true to size, comfortable, worn a few times, good condition ",https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/443c87f5-0efc-434f-b361-a4bc32d4e3fe.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/a5e36776-483e-41c3-aed8-b45cf56b93d9.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/5f2e797b-2556-455f-8d79-f162ebe986f3.jpg,UK,34.93,GBP
283,62c02c5402e6b100131b896d,M,Champion,US,Male,Mixed Fabric,Navy,Hoodies,Hoodies,Navy champion hoodie ,"Navy champion hoodie mens US M
",https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/4da635c9-3aa9-4bfc-b3b4-050316005233.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/9de98764-3ae8-4267-97a7-7fa7fa4fb838.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/eea197bc-d47d-4db6-a9a5-841f058789fd.jpg,UK,9.63,GBP
289,62c02d4302e6b100131b8994,2XL,Champion,US,Male,Mixed Fabric,Khaki,Hoodies,Hoodies,Hoodie zip up ,"Champion green hoodie, zip up cotton poly blend ",https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/68bf056a-dd04-4c84-9d08-cf1b67f31bfc.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/a5036a74-2c22-483a-9210-89011575521d.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/80ddbc24-a396-4a65-bf87-6ba0974ea9d1.jpg,UK,9.63,GBP
295,62c0402402e6b100131b8d80,M,Lacoste,US,Male,Cotton,Grey,Sweatshirts,Sweatshirts,Men grey Lacoste jumper,"Size medium men grey lacoste jumper. Good condition 
",https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/44481f3a-d8a7-4c54-96f6-6c786da22a5c.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/848fe3f0-09bc-4f2b-85f3-7e5e2d5e8fec.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/4aa7fe2f-302f-4441-9462-c3ed4a0ef088.jpg,UK,12.71,GBP
298,62c041b602e6b100131b8ddb,S,Adidas,UK,Male,Cotton,Grey,Sweatshirts,Sweatshirts,Adidas ,Adidas grey jumpers. Mens size small in good condition ,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/4f1e32ad-8052-405c-a9f1-aada9f077996.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/ff603e09-2341-4182-950d-8caacb20bf51.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/66244a21-9e22-4acf-86df-3d65f65460e6.jpg,UK,11.1,GBP
301,62c0432402e6b100131b8e36,M,Adidas,UK,Male,Polyester,Black,Jackets,Activewear jackets,Adidas jacket,Adidas original jacket mens size medium ,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/191ef82f-0391-4bae-88e4-5ee2745e814b.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/6002b717-332f-4d02-9e99-5c00f45661fb.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/49c3bd1f-72fd-4346-a33e-eaee92d585eb.jpg,UK,3.99,GBP
308,62c06e0102e6b100131b961c,S,Armani Exchange,UK,Male,Cotton,Grey,T-shirts,Short sleeve t-shirts,Mens Armani Exchange Short sleeved T shirt.,"Mens Grey small Armani exchange t shirt, tight fitting. ",https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/88e557b7-c449-4eef-8ab2-ea72e3a05b74.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/863877db-039d-43bb-acaa-23bb1615a8e0.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/680b92b6-5f0d-4e52-9270-b2440f9706eb.jpg,UK,21.0,GBP
