,Marque,Modele,Prix Comme neuf,Prix tres bon etat,Prix marque/raye,Prix ecran casse,URL landing page produit,Capacite
73,Apple,iPhone 12 Pro Max,695,695,578,94,https://goodbuytech-fr.twigcard.com/devices/Apple-iPhone 12 Pro Max-512Go-6853,512Go
74,Apple,iPhone 13,569,569,452,94,https://goodbuytech-fr.twigcard.com/devices/Apple-iPhone 13-128Go-6869,128Go
75,Apple,iPhone 13,640,640,522,94,https://goodbuytech-fr.twigcard.com/devices/Apple-iPhone 13-256Go-6873,256Go
76,Apple,iPhone 13,669,669,552,94,https://goodbuytech-fr.twigcard.com/devices/Apple-iPhone 13-512Go-6877,512Go
77,Apple,iPhone 13 Mini,417,417,323,94,https://goodbuytech-fr.twigcard.com/devices/Apple-iPhone 13 Mini-128Go-6893,128Go
78,Apple,iPhone 13 Mini,440,440,346,94,https://goodbuytech-fr.twigcard.com/devices/Apple-iPhone 13 Mini-256Go-6897,256Go
79,Apple,iPhone 13 Mini,481,481,387,94,https://goodbuytech-fr.twigcard.com/devices/Apple-iPhone 13 Mini-512Go-6901,512Go
80,Apple,iPhone 13 Pro,763,763,611,94,https://goodbuytech-fr.twigcard.com/devices/Apple-iPhone 13 Pro-128Go-6917,128Go
81,Apple,iPhone 13 Pro,834,834,681,94,https://goodbuytech-fr.twigcard.com/devices/Apple-iPhone 13 Pro-256Go-6921,256Go
82,Apple,iPhone 13 Pro,863,863,710,94,https://goodbuytech-fr.twigcard.com/devices/Apple-iPhone 13 Pro-512Go-6925,512Go
83,Apple,iPhone 13 Pro,875,875,722,94,https://goodbuytech-fr.twigcard.com/devices/Apple-iPhone 13 Pro-1To-6929,1To
84,Apple,iPhone 6,0,0,0,0,https://goodbuytech-fr.twigcard.com/devices/Apple-iPhone 6-16Go-6949,16Go
85,Apple,iPhone 6,0,0,0,0,https://goodbuytech-fr.twigcard.com/devices/Apple-iPhone 6-32Go-6953,32Go
86,Apple,iPhone 6,0,0,0,0,https://goodbuytech-fr.twigcard.com/devices/Apple-iPhone 6-64Go-6957,64Go
