id,name,manufacturer,image,network,capacity,grade_a,grade_b,grade_c,grade_d,grade_e
931,iPad Pro 5 (2021) 12.9 WiFi,Apple,https://lifeboat-media.s3.eu-west-2.amazonaws.com/iPad%20pro%2011%202018.jpeg5c6161fb49e36.jpeg,Locked,2,,380,280,30,15
932,iPad Pro 5 (2021) 12.9 WiFi & Cellular,Apple,https://lifeboat-media.s3.eu-west-2.amazonaws.com/iPad%20pro%2011%202018.jpeg5c6161fb49e36.jpeg,Unlocked,128,,330,230,30,15
932,iPad Pro 5 (2021) 12.9 WiFi & Cellular,Apple,https://lifeboat-media.s3.eu-west-2.amazonaws.com/iPad%20pro%2011%202018.jpeg5c6161fb49e36.jpeg,Unlocked,256,,380,280,30,15
932,iPad Pro 5 (2021) 12.9 WiFi & Cellular,Apple,https://lifeboat-media.s3.eu-west-2.amazonaws.com/iPad%20pro%2011%202018.jpeg5c6161fb49e36.jpeg,Unlocked,512,,415,315,30,15
932,iPad Pro 5 (2021) 12.9 WiFi & Cellular,Apple,https://lifeboat-media.s3.eu-west-2.amazonaws.com/iPad%20pro%2011%202018.jpeg5c6161fb49e36.jpeg,Unlocked,1,,450,350,30,15
932,iPad Pro 5 (2021) 12.9 WiFi & Cellular,Apple,https://lifeboat-media.s3.eu-west-2.amazonaws.com/iPad%20pro%2011%202018.jpeg5c6161fb49e36.jpeg,Unlocked,2,,480,380,30,15
932,iPad Pro 5 (2021) 12.9 WiFi & Cellular,Apple,https://lifeboat-media.s3.eu-west-2.amazonaws.com/iPad%20pro%2011%202018.jpeg5c6161fb49e36.jpeg,Locked,128,,230,130,30,15
932,iPad Pro 5 (2021) 12.9 WiFi & Cellular,Apple,https://lifeboat-media.s3.eu-west-2.amazonaws.com/iPad%20pro%2011%202018.jpeg5c6161fb49e36.jpeg,Locked,256,,280,180,30,15
932,iPad Pro 5 (2021) 12.9 WiFi & Cellular,Apple,https://lifeboat-media.s3.eu-west-2.amazonaws.com/iPad%20pro%2011%202018.jpeg5c6161fb49e36.jpeg,Locked,512,,315,215,30,15
932,iPad Pro 5 (2021) 12.9 WiFi & Cellular,Apple,https://lifeboat-media.s3.eu-west-2.amazonaws.com/iPad%20pro%2011%202018.jpeg5c6161fb49e36.jpeg,Locked,1,,350,250,30,15
